"","Albany NY","Albuquerque NM","Arlington VA","Atlanta GA","Austin TX","Baltimore MD","Baton Rouge LA","Beaverton OR","Bellevue WA","Berkeley CA","Birmingham AL","Boise ID","Boston MA","Buffalo NY","Cary NC","Charlotte NC","Chicago IL","Cleveland OH","Colorado Springs CO","Columbia SC","Columbus OH","Dallas TX","Dayton OH","Denver CO","Des Moines IA","Durham NC","Eugene OR","Fort Worth TX","Fresno CA","Gainesville FL","Grand Rapids MI","Greensboro NC","Greenville SC","Houston TX","Indianapolis IN","Irvine CA","Irving TX","Jackson MS","Jacksonville FL","Kansas City MO","Knoxville TN","Las Vegas NV","Lexington KY","Lincoln NE","Little Rock AR","Los Angeles CA","Lubbock TX","Madison WI","Memphis TN","Mesa AZ","Miami FL","Milwaukee WI","Nashville TN","New Orleans LA","New York NY","Newark NJ","Norfolk VA","Oakland CA","Oklahoma City OK","Omaha NE","Orlando FL","Philadelphia PA","Phoenix AZ","Pittsburgh PA","Plano TX","Portland OR","Providence RI","Raleigh NC","Reno NV","Reston VA","Richmond VA","Rochester NY","Roswell GA","Sacramento CA","Saint Louis MO","Saint Paul MN","Salt Lake City UT","San Antonio TX","San Diego CA","San Francisco CA","San Jose CA","Santa Clara CA","Scottsdale AZ","Seattle WA","Somerville MA","Spokane WA","Springfield MO","State College PA","Sunnyvale CA","Tampa FL","Tempe AZ","Tucson AZ","Tulsa OK","WASHINGTON DC","Wichita KS"
"Grand Rapids MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1171.813,1238.355,1970.786,410.071,3497.82,1736.613,1420.595,1819.354,1057.952,972.334,3070.908,702.063,1095.158,1276.7,3501.851,2072.547,333.019,1085.566,3036.75,2337.724,206.946,875.409,1718.359,1200.064,1183.438,1352.457,3682.682,1517.067,1016.094,1977.35,1150.469,3058.644,670.589,1698.063,3674.407,1336.969,1291.909,3342.801,1055.811,1213.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greensboro NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.359,1809.102,893.498,3966.852,1810.163,1147.226,734.264,1601.794,460.187,3624.482,675.276,1917.728,1305.647,3970.883,2346.729,1421.298,1087.037,3357.21,1290.091,1339.64,747,1287.846,870.345,855.824,380.155,4438.004,1837.527,1908.491,961.467,728.85,3379.103,689.272,1807.632,4498.233,1158.737,123.509,4166.627,448.454,325.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenville SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1509.44,841.622,3727.221,1510.501,847.564,624.05,1445.059,270.716,3384.851,540.933,1760.993,1066.016,3731.252,2047.067,1380.287,850.24,3204.892,1179.877,1298.629,557.529,988.184,1186.34,1171.475,681.297,4198.373,1597.896,1751.756,851.253,1029.992,3204.064,871.554,1507.969,4341.498,1476.563,424.651,4009.892,812.654,626.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.124,2465.445,404.074,710.096,1400.985,1194.664,1484.972,2337.707,1593.605,1413.656,699.104,2488.401,836.863,1826.504,913.852,1890.783,1909.592,1888.832,1253.858,559.86,2617.973,2603.108,2225.234,3086.952,716.259,1443.921,1549.217,2487.8,1889.956,2152.915,413.452,3672.993,2908.196,1929.86,3057.909,2244.287,2132.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indianapolis IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3321.186,1411.407,1081.815,1415.578,775.57,574.789,2945.598,304.517,1026.406,937.92,3325.217,1747.34,531.127,746.786,2711.544,1924.098,449.469,461.782,1317.923,1139.308,1124.442,1159.08,3615.186,1191.861,982.397,1563.724,1035.448,2733.438,578.928,1372.857,3606.911,1429.53,1013.493,3275.305,928.941,1010.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irvine CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278.244,2935.461,3862.535,2599.263,3509.023,430.678,3475.384,2407.985,2674.249,64.211,1775.556,3171.717,2880.909,601.622,4371.141,3305.034,3220.915,3021.41,4461.665,4471.544,4355.659,662.704,2132.859,2487.725,4010.767,4357.806,575.064,3901.285,2319.137,1612.671,4773.877,4085.972,791.876,4268.338,4206.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irving TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.666,1615.837,881.317,1375.593,1944.061,1427.233,1022.503,532.731,2302.113,546.67,1598.62,747.479,1704.495,2124.444,1620.11,1087.485,832.082,2508.594,2493.729,2187.198,2757.583,325.106,1052.767,1764.07,2378.421,1703.668,1986.543,40.202,3279.347,2798.817,1930.551,2664.264,2134.908,2073.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953.123,1059.134,793.594,2604.784,1007.514,1370.318,416.593,2961.026,1205.583,1365.962,336.729,2363.408,1461.73,1336.669,667.766,299.561,1926.595,1911.729,1524.495,3418.306,977.211,1361.081,1101.355,1796.422,2362.58,1566.824,666.485,3971.504,2216.817,1267.849,3324.986,1552.908,1470.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacksonville FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1841.691,880.211,3547.104,1150.428,2157.625,1334.895,3886.036,2147.902,1949.418,1119.119,3288.418,555.063,1862.959,954.161,879.062,1508.286,1493.764,986.424,4360.626,1866.775,2148.388,226.439,1366.791,3287.59,1334.931,1608.805,4738.13,1796.678,730.069,4267.306,1148.395,963.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas City MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176.591,2170.681,938.204,310.078,679.136,2601.624,1123.476,778.527,725.76,1920.74,2352.838,911.844,891.373,1361.952,1914.124,1899.259,1866.202,2898.858,567.997,300.841,1992.464,1810.265,1942.634,1353.744,785.087,2890.583,2204.346,1720.615,2558.977,1703.758,1717.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
